* Measurement data measured by REW V5.20.3
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Oct 14, 2021 5:19:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of Vector average Cal file effects included No LF tail No HF tail
* Measurement: Vector average-EP
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
196.289062 0.010 -0.0186
196.655273 0.010 -0.0187
197.021484 0.010 -0.0189
197.387695 0.010 -0.0191
197.753906 0.010 -0.0192
198.120117 0.010 -0.0194
198.486328 0.010 -0.0196
198.852539 0.010 -0.0198
199.218750 0.010 -0.0199
199.584961 0.010 -0.0201
199.951172 0.010 -0.0203
200.317383 0.010 -0.0204
200.683594 0.010 -0.0206
201.049805 0.010 -0.0207
201.416016 0.010 -0.0209
201.782227 0.010 -0.0210
202.148438 0.010 -0.0211
202.514648 0.010 -0.0212
202.880859 0.010 -0.0214
203.247070 0.010 -0.0215
203.613281 0.010 -0.0216
203.979492 0.010 -0.0217
204.345703 0.010 -0.0218
204.711914 0.010 -0.0219
205.078125 0.010 -0.0219
205.444336 0.010 -0.0220
205.810547 0.010 -0.0221
206.176758 0.010 -0.0222
206.542969 0.010 -0.0222
206.909180 0.010 -0.0223
207.275391 0.010 -0.0224
207.641602 0.010 -0.0225
208.007812 0.010 -0.0225
208.374023 0.010 -0.0226
208.740234 0.010 -0.0226
209.106445 0.010 -0.0227
209.472656 0.010 -0.0227
209.838867 0.010 -0.0227
210.205078 0.010 -0.0228
210.571289 0.010 -0.0228
210.937500 0.010 -0.0229
211.303711 0.010 -0.0229
211.669922 0.010 -0.0229
212.036133 0.010 -0.0229
212.402344 0.010 -0.0229
212.768555 0.010 -0.0229
213.134766 0.010 -0.0229
213.500977 0.010 -0.0229
213.867188 0.010 -0.0229
214.233398 0.010 -0.0228
214.599609 0.010 -0.0228
214.965820 0.010 -0.0228
215.332031 0.010 -0.0227
215.698242 0.010 -0.0226
216.064453 0.010 -0.0226
216.430664 0.010 -0.0225
216.796875 0.010 -0.0225
217.163086 0.010 -0.0224
217.529297 0.010 -0.0223
217.895508 0.010 -0.0223
218.261719 0.010 -0.0222
218.627930 0.010 -0.0222
218.994141 0.010 -0.0221
219.360352 0.010 -0.0220
219.726562 0.010 -0.0220
220.092773 0.010 -0.0219
220.458984 0.010 -0.0219
220.825195 0.010 -0.0218
221.191406 0.010 -0.0218
221.557617 0.010 -0.0218
221.923828 0.010 -0.0217
222.290039 0.010 -0.0217
222.656250 0.010 -0.0217
223.022461 0.010 -0.0217
223.388672 0.010 -0.0217
223.754883 0.010 -0.0217
224.121094 0.010 -0.0217
224.487305 0.010 -0.0218
224.853516 0.010 -0.0218
225.219727 0.010 -0.0218
225.585938 0.010 -0.0218
225.952148 0.010 -0.0219
226.318359 0.010 -0.0219
226.684570 0.010 -0.0220
227.050781 0.010 -0.0221
227.416992 0.010 -0.0221
227.783203 0.010 -0.0222
228.149414 0.010 -0.0222
228.515625 0.010 -0.0223
228.881836 0.010 -0.0224
229.248047 0.010 -0.0224
229.614258 0.010 -0.0225
229.980469 0.010 -0.0226
230.346680 0.010 -0.0227
230.712891 0.010 -0.0227
231.079102 0.010 -0.0228
231.445312 0.010 -0.0228
231.811523 0.010 -0.0229
232.177734 0.010 -0.0230
232.543945 0.010 -0.0231
232.910156 0.010 -0.0231
233.276367 0.010 -0.0232
233.642578 0.010 -0.0232
234.008789 0.010 -0.0233
234.375000 0.010 -0.0234
234.741211 0.010 -0.0234
235.107422 0.010 -0.0235
235.473633 0.010 -0.0235
235.839844 0.010 -0.0236
236.206055 0.010 -0.0236
236.572266 0.010 -0.0237
236.938477 0.010 -0.0237
237.304688 0.010 -0.0238
237.670898 0.010 -0.0238
238.037109 0.010 -0.0239
238.403320 0.010 -0.0239
238.769531 0.010 -0.0240
239.135742 0.010 -0.0240
239.501953 0.010 -0.0240
239.868164 0.010 -0.0241
240.234375 0.010 -0.0241
240.600586 0.010 -0.0242
240.966797 0.010 -0.0242
241.333008 0.010 -0.0243
241.699219 0.010 -0.0243
