* Measurement data measured by REW V5.19
* Source: ?ио??? (Umik-1  Gain: 18dB  , MICROPHONE (?б┬??), L, volume: 0.530
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Oct 12, 2021 10:59:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 87.4 dB
* Note: focus_l
* Measurement: L
* Smoothing: Variable
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
246.459961 92.988 162.7378
246.826172 92.957 162.5354
247.192383 92.925 162.3420
247.558594 92.892 162.1580
247.924805 92.858 161.9836
248.291016 92.823 161.8198
248.657227 92.788 161.6669
249.023438 92.751 161.5251
249.389648 92.714 161.3948
249.755859 92.677 161.2764
250.122070 92.639 161.1699
250.488281 92.601 161.0757
250.854492 92.563 160.9938
251.220703 92.524 160.9243
251.586914 92.486 160.8672
251.953125 92.447 160.8225
252.319336 92.409 160.7900
252.685547 92.371 160.7699
253.051758 92.334 160.7617
253.417969 92.297 160.7654
253.784180 92.261 160.7805
254.150391 92.226 160.8071
254.516602 92.192 160.8445
254.882812 92.158 160.8926
255.249023 92.126 160.9509
255.615234 92.095 161.0190
255.981445 92.065 161.0967
256.347656 92.037 161.1831
256.713867 92.010 161.2781
257.080078 91.985 161.3811
257.446289 91.961 161.4915
257.812500 91.939 161.6089
258.178711 91.919 161.7327
258.544922 91.901 161.8624
258.911133 91.885 161.9974
259.277344 91.870 162.1372
259.643555 91.858 162.2810
260.009766 91.848 162.4285
260.375977 91.840 162.5789
260.742188 91.834 162.7314
261.108398 91.830 162.8860
261.474609 91.828 163.0416
261.840820 91.828 163.1978
262.207031 91.831 163.3538
262.573242 91.835 163.5090
262.939453 91.842 163.6631
263.305664 91.851 163.8152
263.671875 91.862 163.9648
264.038086 91.875 164.1113
264.404297 91.890 164.2542
264.770508 91.907 164.3926
265.136719 91.926 164.5264
265.502930 91.947 164.6548
265.869141 91.969 164.7773
266.235352 91.993 164.8937
266.601562 92.019 165.0032
266.967773 92.046 165.1055
267.333984 92.075 165.2002
267.700195 92.105 165.2869
268.066406 92.136 165.3651
268.432617 92.169 165.4348
268.798828 92.202 165.4954
269.165039 92.237 165.5469
269.531250 92.273 165.5890
269.897461 92.309 165.6213
270.263672 92.346 165.6440
270.629883 92.384 165.6567
270.996094 92.422 165.6595
271.362305 92.461 165.6521
271.728516 92.500 165.6346
272.094727 92.540 165.6069
272.460938 92.580 165.5692
272.827148 92.620 165.5212
273.193359 92.660 165.4634
273.559570 92.700 165.3955
273.925781 92.740 165.3176
274.291992 92.781 165.2302
274.658203 92.821 165.1331
275.024414 92.861 165.0264
275.390625 92.900 164.9105
275.756836 92.940 164.7854
276.123047 92.979 164.6514
276.489258 93.018 164.5085
276.855469 93.057 164.3569
277.221680 93.095 164.1971
277.587891 93.133 164.0291
277.954102 93.170 163.8530
278.320312 93.207 163.6692
278.686523 93.244 163.4778
279.052734 93.280 163.2791
279.418945 93.316 163.0730
279.785156 93.351 162.8601
280.151367 93.385 162.6404
280.517578 93.419 162.4141
280.883789 93.453 162.1814
281.250000 93.486 161.9424
281.616211 93.518 161.6974
281.982422 93.550 161.4465
282.348633 93.581 161.1898
282.714844 93.612 160.9276
283.081055 93.642 160.6599
283.447266 93.672 160.3871
283.813477 93.701 160.1091
284.179688 93.729 159.8259
284.545898 93.757 159.5381
284.912109 93.784 159.2454
285.278320 93.811 158.9479
285.644531 93.837 158.6459
286.010742 93.863 158.3394
286.376953 93.888 158.0284
286.743164 93.912 157.7131
287.109375 93.936 157.3938
287.475586 93.960 157.0701
287.841797 93.982 156.7424
288.208008 94.005 156.4106
288.574219 94.026 156.0750
288.940430 94.047 155.7354
289.306641 94.067 155.3921
289.672852 94.087 155.0449
290.039062 94.106 154.6941
290.405273 94.125 154.3398
290.771484 94.143 153.9819
291.137695 94.160 153.6205
291.503906 94.176 153.2557
291.870117 94.192 152.8877
292.236328 94.207 152.5165
292.602539 94.222 152.1421
292.968750 94.236 151.7649
293.334961 94.249 151.3845
293.701172 94.262 151.0015
294.067383 94.273 150.6157
294.433594 94.284 150.2275
294.799805 94.295 149.8367
295.166016 94.304 149.4437
295.532227 94.313 149.0486
295.898438 94.321 148.6514
296.264648 94.329 148.2522
296.630859 94.335 147.8513
296.997070 94.341 147.4489
297.363281 94.346 147.0449
297.729492 94.351 146.6399
298.095703 94.354 146.2336
298.461914 94.357 145.8264
298.828125 94.359 145.4185
299.194336 94.361 145.0099
299.560547 94.361 144.6008
299.926758 94.361 144.1917
300.292969 94.360 143.7822
300.659180 94.359 143.3730
301.025391 94.357 142.9641
301.391602 94.354 142.5554
301.757812 94.350 142.1475
302.124023 94.345 141.7400
302.490234 94.340 141.3335
302.856445 94.335 140.9280
303.222656 94.328 140.5237
303.588867 94.321 140.1206
303.955078 94.314 139.7189
304.321289 94.306 139.3186
304.687500 94.297 138.9200
305.053711 94.288 138.5231
305.419922 94.278 138.1279
305.786133 94.268 137.7345
306.152344 94.257 137.3430
306.518555 94.246 136.9535
306.884766 94.235 136.5659
307.250977 94.223 136.1804
307.617188 94.210 135.7969
307.983398 94.198 135.4155
308.349609 94.185 135.0360
308.715820 94.172 134.6586
309.082031 94.158 134.2831
309.448242 94.145 133.9095
309.814453 94.131 133.5378
310.180664 94.117 133.1680
310.546875 94.103 132.7998
310.913086 94.089 132.4332
311.279297 94.074 132.0681
311.645508 94.060 131.7046
312.011719 94.046 131.3423
312.377930 94.031 130.9811
312.744141 94.017 130.6208
313.110352 94.003 130.2616
313.476562 93.988 129.9030
313.842773 93.974 129.5449
314.208984 93.960 129.1871
314.575195 93.946 128.8296
314.941406 93.933 128.4719
315.307617 93.919 128.1140
315.673828 93.906 127.7556
316.040039 93.893 127.3966
316.406250 93.880 127.0366
316.772461 93.867 126.6757
317.138672 93.855 126.3132
317.504883 93.842 125.9493
317.871094 93.831 125.5835
318.237305 93.819 125.2157
318.603516 93.808 124.8455
318.969727 93.796 124.4728
319.335938 93.786 124.0972
319.702148 93.775 123.7186
320.068359 93.765 123.3367
320.434570 93.755 122.9513
320.800781 93.745 122.5620
321.166992 93.735 122.1687
321.533203 93.726 121.7711
321.899414 93.717 121.3691
322.265625 93.708 120.9623
322.631836 93.699 120.5505
322.998047 93.690 120.1338
323.364258 93.682 119.7115
323.730469 93.674 119.2839
324.096680 93.665 118.8505
324.462891 93.657 118.4111
324.829102 93.649 117.9658
325.195312 93.640 117.5144
325.561523 93.632 117.0566
325.927734 93.623 116.5925
326.293945 93.615 116.1218
326.660156 93.606 115.6448
327.026367 93.597 115.1609
327.392578 93.588 114.6705
327.758789 93.578 114.1733
328.125000 93.568 113.6697
328.491211 93.558 113.1592
328.857422 93.547 112.6421
329.223633 93.536 112.1187
329.589844 93.525 111.5886
329.956055 93.512 111.0522
330.322266 93.500 110.5095
330.688477 93.486 109.9608
331.054688 93.472 109.4062
331.420898 93.457 108.8458
331.787109 93.441 108.2799
332.153320 93.425 107.7087
332.519531 93.408 107.1324
332.885742 93.389 106.5514
333.251953 93.370 105.9658
333.618164 93.350 105.3761
333.984375 93.329 104.7825
334.350586 93.307 104.1853
334.716797 93.284 103.5850
335.083008 93.259 102.9817
335.449219 93.234 102.3761
335.815430 93.207 101.7683
336.181641 93.179 101.1589
336.547852 93.150 100.5483
336.914062 93.119 99.9369
337.280273 93.088 99.3250
337.646484 93.054 98.7131
338.012695 93.020 98.1018
338.378906 92.984 97.4912
338.745117 92.947 96.8821
339.111328 92.909 96.2748
339.477539 92.869 95.6697
339.843750 92.827 95.0671
340.209961 92.784 94.4678
340.576172 92.740 93.8719
340.942383 92.695 93.2800
341.308594 92.647 92.6926
341.674805 92.599 92.1099
342.041016 92.549 91.5325
342.407227 92.497 90.9604
342.773438 92.444 90.3945
343.139648 92.390 89.8350
343.505859 92.334 89.2820
343.872070 92.277 88.7361
344.238281 92.218 88.1975
344.604492 92.158 87.6666
344.970703 92.096 87.1438
345.336914 92.033 86.6292
345.703125 91.969 86.1229
346.069336 91.903 85.6255
346.435547 91.836 85.1371
346.801758 91.767 84.6578
347.167969 91.697 84.1880
347.534180 91.626 83.7277
347.900391 91.554 83.2771
348.266602 91.480 82.8363
348.632812 91.405 82.4055
